timestamp,temperature[degC],humidity[%],no2[ppb],co[ppm],no2[V],co[V],latitude[deg],longitude[deg],altitude[m]
10/8/2016 13:02,25.72,49.07,76.58,4.37,-0.82743,-1.99115,---,---,---
10/8/2016 13:02,25.71,49.08,77.88,4.78,-0.82745,-1.99055,---,---,---
10/8/2016 13:02,25.7,49.1,81.8,4.84,-0.82751,-1.99046,---,---,---
10/8/2016 13:02,25.7,49.12,80.43,5.48,-0.82748,-1.98953,---,---,---
10/8/2016 13:02,25.69,49.14,84.19,5.16,-0.82754,-1.99001,---,---,---
10/8/2016 13:02,25.68,49.16,86.26,4.55,-0.82757,-1.99092,---,---,---
10/8/2016 13:02,25.67,49.19,83.98,4.47,-0.82753,-1.99105,---,---,---
10/8/2016 13:02,25.66,49.23,88.26,3.98,-0.8276,-1.99178,---,---,---
10/8/2016 13:02,25.65,49.26,95.51,3.27,-0.8277,-1.99284,---,---,---
10/8/2016 13:02,25.65,49.29,97.1,3.81,-0.82772,-1.99204,---,---,---
10/8/2016 13:03,25.64,49.32,98.68,4.3,-0.82774,-1.99133,---,---,---
10/8/2016 13:03,25.63,49.34,100.67,3.94,-0.82777,-1.99187,---,---,---
10/8/2016 13:03,25.62,49.37,96.12,3.84,-0.82771,-1.99203,---,---,---
10/8/2016 13:03,25.61,49.4,92.48,3.26,-0.82765,-1.99288,---,---,---
10/8/2016 13:03,25.61,49.43,93.24,4.12,-0.82766,-1.99163,---,---,---
10/8/2016 13:03,25.6,49.46,88.97,4.06,-0.8276,-1.99173,---,---,---
10/8/2016 13:03,25.59,49.5,90.41,4.16,-0.82762,-1.99159,---,---,---
10/8/2016 13:03,25.58,49.52,91.34,4.35,-0.82763,-1.99132,---,---,---
10/8/2016 13:03,25.57,49.55,88.16,3.94,-0.82758,-1.99193,---,---,---
10/8/2016 13:03,25.56,49.57,87.65,3.59,-0.82757,-1.99245,---,---,---
10/8/2016 13:03,25.56,49.59,93.92,3.39,-0.82766,-1.99276,---,---,---
10/8/2016 13:03,25.55,49.61,94.07,2.88,-0.82766,-1.99351,---,---,---
10/8/2016 13:04,25.54,49.63,94.65,3.02,-0.82767,-1.99332,---,---,---
10/8/2016 13:04,25.53,49.64,91.03,3.26,-0.82762,-1.99297,---,---,---
10/8/2016 13:04,25.52,49.65,94.3,2.83,-0.82766,-1.99361,---,---,---
10/8/2016 13:04,25.51,49.67,100.36,2.73,-0.82775,-1.99377,---,---,---
10/8/2016 13:04,25.5,49.68,100.8,2.61,-0.82776,-1.99396,---,---,---
10/8/2016 13:04,25.5,49.69,102.32,2.46,-0.82778,-1.99418,---,---,---
10/8/2016 13:04,25.49,49.7,100.35,3.16,-0.82775,-1.99318,---,---,---
10/8/2016 13:04,25.48,49.7,100.5,---,-0.82775,---,---,---,---
10/8/2016 13:04,25.47,49.72,102.66,3.56,-0.82778,-1.99259,---,---,---
10/8/2016 13:04,25.47,49.73,100.16,3.14,-0.82774,-1.99321,---,---,---
10/8/2016 13:04,25.46,49.75,97.85,2.64,-0.82771,-1.99397,---,---,---
10/8/2016 13:04,25.45,49.76,100.59,2.65,-0.82775,-1.99396,---,---,---
