Lat,Lon,featureNam,pcode,featureRef,popPlaceCl,popPlace_1,admin1Name,admin1Pcod,admin0Name,admin0Pcod,date,validOn,validTo
31.39029794,34.92358305,Osaileh,PS01999936,Osaileh,0,,Hebron,PS0150,State of Palestine,PS,1/1/2004,12/18/2015,
31.41212631,34.90908421,Abo El-Henna,PS01999935,Abo El-Henna,0,,Hebron,PS0150,State of Palestine,PS,1/1/2004,12/18/2015,
31.56044177,35.24127374,Al Walayda,PS01999958,Al Walayda,0,,Bethlehem,PS0145,State of Palestine,PS,1/1/2004,12/18/2015,
32.42464831,35.10845903,Fraseen,PS01999929,Fraseen,0,,Jenin,PS0101,State of Palestine,PS,1/1/2004,12/18/2015,
32.08327798,35.12933854,Al Matwi,PS01999769,Al Matwi,0,,Salfit,PS0125,State of Palestine,PS,1/1/2004,12/18/2015,
32.0756434,35.1364596,Iraq al Sakhra,PS01999922,Iraq al Sakhra,0,,Salfit,PS0125,State of Palestine,PS,1/1/2004,12/18/2015,
32.11091788,35.13310847,Dar Abu Basal,PS01251350,Dar Abu Basal,0,,Salfit,PS0125,State of Palestine,PS,1/1/2004,12/18/2015,
32.08997919,35.1607275,Muhaajir,PS01999921,Muhaajir,0,,Salfit,PS0125,State of Palestine,PS,1/1/2004,12/18/2015,
32.00275608,35.10236479,Deir Nidham Bedouins - Al Hossa,PS01999918,Deir Nidham Bedouins - Al Hossa,0,,Ramallah,PS0130,State of Palestine,PS,1/1/2004,12/18/2015,
31.93149111,35.15849272,Ein Qiniya Bedouins - Wadi ad Dulum,PS01999917,Ein Qiniya Bedouins - Wadi ad Dulum,0,,Ramallah,PS0130,State of Palestine,PS,1/1/2004,12/18/2015,
31.880008,35.08825011,Wadi Salman,PS01999916,Wadi Salman,0,,Ramallah,PS0130,State of Palestine,PS,1/1/2004,12/18/2015,
31.98965226,35.3731019,Ras al Tin,PS01999852,Ras al Tin,0,,Ramallah,PS0130,State of Palestine,PS,1/1/2004,12/18/2015,
32.40566789,35.39962931,Wadi Shobash,PS01999914,Wadi Shobash,0,,Jenin,PS0101,State of Palestine,PS,1/1/2004,12/18/2015,
32.23470996,35.54770353,Umm al 'Obor,PS01999912,Umm al Obor,0,,Tubas,PS0105,State of Palestine,PS,1/1/2004,12/18/2015,
32.12270899,35.40733948,Lifjim,PS01999911,Lifjim,0,,Nablus,PS0115,State of Palestine,PS,1/1/2004,12/18/2015,
32.03417508,35.43581926,Fasayil al Fauqa,PS01999910,Fasayil al Fauqa,0,,Jericho,PS0135,State of Palestine,PS,1/1/2004,12/18/2015,
32.0298696,35.44147665,Fasayil al Wusta,PS01999909,Fasayil al Wusta,0,,Jericho,PS0135,State of Palestine,PS,1/1/2004,12/18/2015,
31.94488958,35.40333944,Ras 'Ein al 'Auja,PS01999908,Ras Ein al Auja,0,,Jericho,PS0135,State of Palestine,PS,1/1/2004,12/18/2015,
31.91757465,35.39877047,Al Mu'arrajat East,PS01999907,Al Muarrajat East,0,,Ramallah,PS0130,State of Palestine,PS,1/1/2004,12/18/2015,
31.8971617,35.42879366,An Nuwei'ma Al-Fauqa Bedouins,PS01999904,An Nuweima Al-Fauqa Bedouins,0,,Jericho,PS0135,State of Palestine,PS,1/1/2004,12/18/2015,
31.83560872,35.37974176,Ein el Qilt,PS01999902,Ein el Qilt,0,,Jericho,PS0135,State of Palestine,PS,1/1/2004,12/18/2015,
32.39491017,35.49566163,Al Qaffaf,PS01999901,Al Qaffaf,0,,Tubas,PS0105,State of Palestine,PS,1/1/2004,12/18/2015,
31.41084267,35.0476796,As Simiya,PS01503230,As Simiya,0,,Hebron,PS0150,State of Palestine,PS,1/1/2004,12/18/2015,
32.26777658,35.50269089,Mak-hul,PS01999891,Mak-hul,0,,Tubas,PS0105,State of Palestine,PS,1/1/2004,12/18/2015,
32.17575086,35.53146346,Marj Na'ja Herders,PS01999890,Marj Naja Herders,0,,Jericho,PS0135,State of Palestine,PS,1/1/2004,12/18/2015,
31.83614126,35.18731743,An Nabi Samwil Bedouins,PS01999888,An Nabi Samwil Bedouins,0,,Jerusalem,PS0140,State of Palestine,PS,1/1/2004,12/18/2015,
31.79585141,35.26867406,Az Za'ayyem Bedouins,PS01999767,Az Zaayyem Bedouins,0,,Jerusalem,PS0140,State of Palestine,PS,1/1/2004,12/18/2015,
32.29377349,35.49176789,Khirbet Samra,PS01999892,Khirbet Samra,0,,Tubas,PS0105,State of Palestine,PS,1/1/2004,12/18/2015,
32.35744515,35.50884024,Al Farisiya-Ihmayyer,PS01999842,Al Farisiya-Ihmayyer,0,,Tubas,PS0105,State of Palestine,PS,1/1/2004,12/18/2015,
32.21199215,35.4405967,Abu Kbash,PS01999756,Abu Kbash,0,,Nablus,PS0115,State of Palestine,PS,1/1/2004,12/18/2015,
31.83111542,35.20048308,Wadi Beit Hanina Bedouins,PS01999887,Wadi Beit Hanina Bedouins,0,,Jerusalem,PS0140,State of Palestine,PS,1/1/2004,12/18/2015,
31.83359474,35.16651249,Beit Iksa Bedouins,PS01999886,Beit Iksa Bedouins,0,,Jerusalem,PS0140,State of Palestine,PS,1/1/2004,12/18/2015,
